,Code_INSEE,Tranche_detaillee_unite_urbaine
0,12213,0.0
1,59504,7.0
2,50637,0.0
3,31165,7.0
4,67388,3.0
5,26307,1.0
6,74010,6.0
7,48140,1.0
8,25356,1.0
9,37260,0.0
10,75109,8.0
11,59002,7.0
12,80799,1.0
13,44097,0.0
14,38141,0.0
15,78185,1.0
16,94015,8.0
17,86002,0.0
18,93031,8.0
19,91549,8.0
20,48070,0.0
21,79280,0.0
22,27602,5.0
23,16058,4.0
24,43268,2.0
25,30186,1.0
26,92050,8.0
27,65417,5.0
28,29051,5.0
29,01173,3.0
30,78646,8.0
31,53243,0.0
32,10387,6.0
33,63214,3.0
34,38151,7.0
35,23096,3.0
36,27638,0.0
37,49023,4.0
38,77350,8.0
39,76069,7.0
40,69250,7.0
41,21680,0.0
42,77251,8.0
43,57329,0.0
44,33529,5.0
45,85191,5.0
46,92076,8.0
47,74218,5.0
48,82124,5.0
49,59632,7.0
50,28085,5.0
51,33318,7.0
52,45289,0.0
53,75110,8.0
54,67105,0.0
55,57463,7.0
56,68349,4.0
57,03251,0.0
58,31555,7.0
59,95313,8.0
60,14701,4.0
61,13212,7.0
62,51649,3.0
63,06088,7.0
64,61043,0.0
65,14423,
66,42184,5.0
67,17197,2.0
68,95018,8.0
69,89257,3.0
70,89471,0.0
71,36064,0.0
72,77379,3.0
73,2A085,0.0
74,35125,2.0
75,93078,8.0
76,59350,7.0
77,77382,4.0
78,13035,2.0
79,27191,0.0
80,94002,8.0
81,75118,8.0
82,83137,7.0
83,76681,7.0
84,34147,1.0
85,28218,5.0
86,95277,8.0
87,69388,7.0
88,44035,7.0
89,22135,0.0
90,83144,7.0
91,25031,6.0
92,27502,1.0
93,77296,8.0
94,75119,8.0
95,91103,8.0
96,87205,0.0
97,50087,0.0
98,64122,7.0
99,86233,0.0
100,82121,5.0
101,37082,0.0
102,39189,2.0
103,16154,6.0
104,01072,1.0
105,69264,7.0
106,87113,6.0
107,30302,0.0
108,85109,3.0
109,62651,0.0
110,38529,4.0
111,79319,0.0
112,09157,1.0
113,62038,2.0
114,77371,4.0
115,77440,0.0
116,31381,0.0
117,68278,7.0
118,11198,0.0
119,12089,3.0
120,94041,8.0
121,38021,
122,14646,0.0
123,69150,
124,37165,0.0
125,45107,0.0
126,91114,8.0
127,94067,8.0
128,21134,0.0
129,07259,0.0
130,59292,1.0
131,85089,2.0
132,87021,1.0
133,59656,7.0
134,21617,7.0
135,54402,0.0
136,17211,0.0
137,72132,3.0
138,85167,3.0
139,32062,0.0
140,15014,4.0
141,22079,0.0
142,92019,8.0
143,31282,7.0
144,33192,7.0
145,13213,7.0
146,83061,5.0
147,78440,8.0
148,57529,1.0
149,32459,0.0
150,25403,0.0
151,33243,4.0
152,75111,8.0
153,16374,6.0
154,92012,8.0
155,54421,0.0
156,13022,2.0
157,85208,0.0
158,84083,2.0
159,76615,7.0
160,28055,0.0
161,29066,0.0
162,88465,5.0
163,76366,7.0
164,31561,7.0
165,59566,7.0
166,42204,0.0
167,85273,0.0
168,13028,7.0
169,56260,5.0
170,01031,4.0
171,76540,7.0
172,72003,7.0
173,14118,6.0
174,75115,8.0
175,67194,1.0
176,71306,4.0
177,66059,5.0
178,35152,2.0
179,40192,4.0
180,94068,8.0
181,74119,5.0
182,87085,6.0
183,48092,2.0
184,49333,1.0
185,78297,8.0
186,63113,7.0
187,35331,0.0
188,69275,7.0
189,21390,7.0
190,66069,1.0
191,76575,7.0
192,13072,7.0
193,67371,0.0
194,77001,0.0
195,71502,0.0
196,66136,7.0
197,23247,0.0
198,93032,8.0
199,33550,7.0
200,22168,4.0
201,50615,2.0
202,60293,0.0
203,51630,0.0
204,33381,7.0
205,94055,8.0
206,94081,8.0
207,82165,0.0
208,37021,0.0
209,29006,4.0
210,73031,6.0
211,01050,0.0
212,88101,1.0
213,22162,3.0
214,31410,7.0
215,59360,7.0
216,26330,0.0
217,78490,8.0
218,30174,3.0
219,53007,1.0
220,78624,8.0
221,06095,7.0
222,27103,1.0
223,67482,7.0
224,44082,2.0
225,26333,2.0
226,87125,1.0
227,34172,7.0
228,32119,1.0
229,83090,7.0
230,21391,0.0
231,13210,7.0
232,75113,8.0
233,17010,6.0
234,62255,0.0
235,59589,7.0
236,71270,4.0
237,03185,5.0
238,57288,3.0
239,45145,2.0
240,38509,4.0
241,49212,
242,75107,8.0
243,78442,8.0
244,94077,8.0
245,62825,1.0
246,94076,8.0
247,31446,7.0
248,32280,0.0
249,83049,7.0
250,01085,0.0
251,42207,7.0
252,45123,2.0
253,73065,6.0
254,95218,8.0
255,21179,1.0
256,19272,4.0
257,76312,2.0
258,49377,0.0
259,49267,7.0
260,17094,6.0
261,91434,8.0
262,37195,7.0
263,34301,5.0
264,38005,0.0
265,83073,3.0
266,60175,6.0
267,60641,1.0
268,07007,0.0
269,44109,7.0
270,13119,2.0
271,71076,5.0
272,36044,5.0
273,74256,4.0
274,36009,0.0
275,59361,7.0
276,45271,0.0
277,93055,8.0
278,52269,2.0
279,54439,7.0
280,03162,0.0
281,60057,5.0
282,01443,1.0
283,56179,1.0
284,01424,0.0
285,93005,8.0
286,58194,5.0
287,02810,3.0
288,62081,0.0
289,45169,7.0
290,09075,0.0
291,93062,8.0
292,73320,2.0
293,95060,8.0
294,77330,5.0
295,59157,1.0
296,32307,4.0
297,74278,5.0
298,87052,0.0
299,47215,4.0
300,12133,5.0
301,62022,0.0
302,26005,0.0
303,44149,0.0
304,72181,7.0
305,59512,7.0
306,04245,1.0
307,01034,3.0
308,93001,8.0
309,04049,2.0
310,07309,0.0
311,94033,8.0
312,78498,8.0
313,13001,7.0
314,13086,7.0
315,95127,8.0
316,35006,1.0
317,17200,6.0
318,62826,4.0
319,48099,0.0
320,45252,3.0
321,76447,7.0
322,34057,7.0
323,51312,0.0
324,84122,7.0
325,93008,8.0
326,69256,7.0
327,81004,5.0
328,69202,7.0
329,63300,4.0
330,02415,0.0
331,44184,6.0
332,33253,2.0
333,92064,8.0
334,50165,4.0
335,38206,0.0
336,86165,2.0
337,57306,6.0
338,02453,0.0
339,22110,0.0
340,59122,4.0
341,71449,0.0
342,81099,3.0
343,13076,7.0
344,67227,0.0
345,45004,5.0
346,75108,8.0
347,38545,3.0
348,60159,5.0
349,33042,2.0
350,39201,0.0
351,61214,3.0
352,77152,8.0
353,78140,8.0
354,43030,0.0
355,35240,4.0
356,59286,7.0
357,92048,8.0
358,64138,6.0
359,56164,2.0
360,33487,7.0
361,36166,0.0
362,26295,1.0
363,07181,1.0
364,55196,0.0
365,76351,7.0
366,22292,
367,50434,
368,63116,0.0
369,60684,6.0
370,64125,7.0
371,59178,7.0
372,35167,0.0
373,06004,7.0
374,49264,
375,51454,7.0
376,27095,0.0
377,91617,1.0
378,01138,1.0
379,62612,0.0
380,70128,3.0
381,31251,0.0
382,30209,2.0
383,26338,5.0
384,56159,0.0
385,83126,7.0
386,78418,8.0
387,92073,8.0
388,82033,4.0
389,17119,0.0
390,59043,5.0
391,37261,7.0
392,87168,0.0
393,59507,7.0
394,01141,0.0
395,59619,3.0
396,25056,6.0
397,11266,2.0
398,74250,5.0
399,64024,7.0
400,56240,2.0
401,10121,0.0
402,21521,0.0
403,49214,2.0
404,91589,8.0
405,76715,0.0
406,75117,8.0
407,93066,8.0
408,92044,8.0
409,2A004,5.0
410,93050,8.0
411,24037,5.0
412,38054,0.0
413,18197,3.0
414,34192,2.0
415,14142,
416,59302,7.0
417,13019,7.0
418,35126,2.0
419,91377,8.0
420,22282,1.0
421,95428,8.0
422,63209,0.0
423,69034,7.0
424,22325,3.0
425,35238,7.0
426,13214,7.0
427,65464,0.0
428,01384,0.0
429,13026,7.0
430,15092,0.0
431,70084,1.0
432,44139,0.0
433,38175,7.0
434,71412,2.0
435,71486,4.0
436,21257,0.0
437,17111,0.0
438,49378,0.0
439,75112,8.0
440,62510,7.0
441,52121,4.0
442,92063,8.0
443,02558,1.0
444,95584,0.0
445,33545,0.0
446,61169,4.0
447,38124,3.0
448,63245,4.0
449,27229,5.0
450,94022,8.0
451,91045,4.0
452,86026,0.0
453,75120,8.0
454,62617,7.0
455,16361,0.0
456,35004,0.0
457,69100,7.0
458,49074,
459,11049,1.0
460,31445,7.0
461,93051,8.0
462,29207,4.0
463,83129,7.0
464,74265,0.0
465,24309,1.0
466,91645,8.0
467,51248,1.0
468,32227,0.0
469,69091,7.0
470,74315,2.0
471,47106,3.0
472,77108,8.0
473,67447,7.0
474,14119,1.0
475,68179,0.0
476,86274,0.0
477,59112,7.0
478,04242,1.0
479,34249,1.0
480,77370,0.0
481,74056,3.0
482,45087,1.0
483,67506,7.0
484,95252,8.0
485,34207,1.0
486,31584,2.0
487,68224,7.0
488,41194,3.0
489,45109,0.0
490,26108,3.0
491,62048,7.0
492,46038,1.0
493,42199,5.0
494,63271,0.0
495,84115,0.0
496,88468,3.0
497,92026,8.0
498,16138,6.0
499,56121,6.0
500,29300,0.0
501,70198,0.0
502,92024,8.0
503,89024,4.0
504,44130,7.0
505,31035,7.0
506,82169,0.0
507,60478,0.0
508,42218,7.0
509,46330,1.0
510,92051,8.0
511,92060,8.0
512,33122,7.0
513,63336,0.0
514,59139,3.0
515,71143,0.0
516,04116,1.0
517,63355,0.0
518,62765,5.0
519,31022,7.0
520,78401,8.0
521,13005,7.0
522,02334,1.0
523,24454,0.0
524,37208,7.0
525,49133,
526,54329,4.0
527,28398,0.0
528,37063,2.0
529,77333,4.0
530,25047,2.0
531,02481,0.0
532,80131,6.0
533,51263,0.0
534,40310,2.0
535,93010,8.0
536,72385,0.0
537,47001,5.0
538,54395,7.0
539,59574,7.0
540,35024,3.0
541,18003,0.0
542,11313,0.0
543,71219,0.0
544,11069,4.0
545,70285,3.0
546,72050,0.0
